"kri","ggi_indicator","nom","business_label","sub_business_label","comment","snapshot_date","pending_date","traitement","exposure_days"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","11293","Charlie Durand #70","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","12418","Alice Dupont #73","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","67964","Bob Martin #74","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","11299","Charlie Durand #76","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","12424","Alice Dupont #79","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","67970","Bob Martin #80","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","11305","Charlie Durand #82","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","12430","Alice Dupont #85","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","67976","Bob Martin #86","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","11311","Charlie Durand #88","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","12436","Alice Dupont #91","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","67982","Bob Martin #92","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","11317","Charlie Durand #94","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","12442","Alice Dupont #97","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","67988","Bob Martin #98","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","11323","Charlie Durand #100","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","12448","Alice Dupont #103","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","67994","Bob Martin #104","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","11329","Charlie Durand #106","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","12454","Alice Dupont #109","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","68000","Bob Martin #110","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","11335","Charlie Durand #112","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","12460","Alice Dupont #115","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","68006","Bob Martin #116","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","11341","Charlie Durand #118","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","12466","Alice Dupont #121","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","68012","Bob Martin #122","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","11347","Charlie Durand #124","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","12472","Alice Dupont #127","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","68018","Bob Martin #128","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","11353","Charlie Durand #130","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","12478","Alice Dupont #133","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","68024","Bob Martin #134","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","11359","Charlie Durand #136","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","12484","Alice Dupont #139","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","68030","Bob Martin #140","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","11365","Charlie Durand #142","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","12490","Alice Dupont #145","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","68036","Bob Martin #146","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","11371","Charlie Durand #148","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","12496","Alice Dupont #151","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","68042","Bob Martin #152","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","11377","Charlie Durand #154","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","12502","Alice Dupont #157","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","68048","Bob Martin #158","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","11383","Charlie Durand #160","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","12508","Alice Dupont #163","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","68054","Bob Martin #164","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","11389","Charlie Durand #166","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","12514","Alice Dupont #169","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","68060","Bob Martin #170","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","11395","Charlie Durand #172","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","12520","Alice Dupont #175","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","68066","Bob Martin #176","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","11401","Charlie Durand #178","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","12526","Alice Dupont #181","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","68072","Bob Martin #182","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","11407","Charlie Durand #184","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","12532","Alice Dupont #187","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","68078","Bob Martin #188","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","11413","Charlie Durand #190","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","12538","Alice Dupont #193","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","68084","Bob Martin #194","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","11419","Charlie Durand #196","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","12544","Alice Dupont #199","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","68090","Bob Martin #200","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","11425","Charlie Durand #202","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","12550","Alice Dupont #205","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","68096","Bob Martin #206","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","11431","Charlie Durand #208","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","12556","Alice Dupont #211","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","68102","Bob Martin #212","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","11437","Charlie Durand #214","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","12562","Alice Dupont #217","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","68108","Bob Martin #218","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","11443","Charlie Durand #220","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","12568","Alice Dupont #223","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","68114","Bob Martin #224","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","11449","Charlie Durand #226","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","12574","Alice Dupont #229","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","68120","Bob Martin #230","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","11455","Charlie Durand #232","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","12580","Alice Dupont #235","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","68126","Bob Martin #236","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","11461","Charlie Durand #238","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","12586","Alice Dupont #241","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","68132","Bob Martin #242","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","11467","Charlie Durand #244","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","12592","Alice Dupont #247","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","68138","Bob Martin #248","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","11473","Charlie Durand #250","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","12598","Alice Dupont #253","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","68144","Bob Martin #254","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","11479","Charlie Durand #256","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","12604","Alice Dupont #259","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","68150","Bob Martin #260","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","11485","Charlie Durand #262","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","12610","Alice Dupont #265","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","68156","Bob Martin #266","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","11491","Charlie Durand #268","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","12616","Alice Dupont #271","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","68162","Bob Martin #272","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","11497","Charlie Durand #274","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","12622","Alice Dupont #277","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","68168","Bob Martin #278","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","11503","Charlie Durand #280","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","12628","Alice Dupont #283","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","68174","Bob Martin #284","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","11509","Charlie Durand #286","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","12634","Alice Dupont #289","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","68180","Bob Martin #290","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","11515","Charlie Durand #292","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
